strain	a3a5	a5a3
BRC20067	0.40670391061452515	2.4587912087912085
CB4856	0.6398364800267092	1.562899320711217
CB4932	0.5203761755485894	1.9216867469879517
CX11254	0.18993288590604027	5.265017667844523
CX11264	0.5002605633802817	1.9989582893421738
CX11271	0.3142227122381477	3.1824561403508773
CX11276	0.36034782608695654	2.775096525096525
CX11285	0.46629213483146065	2.144578313253012
CX11292	0.30595913043478257	3.2684103872924206
CX11314	0.2839506172839506	3.5217391304347827
DL226	0.3771131339401821	2.6517241379310343
DL238	0.4392810607338279	2.2764468796571373
ECA36	0.38467741935483873	2.5995807127882595
ED3005	0.5200845665961945	1.9227642276422763
ED3011	0.39552238805970147	2.5283018867924527
ED3012	0.44933920704845814	2.2254901960784315
ED3017	0.3085277777777778	3.2411992437201764
ED3046	0.35511363636363635	2.8160000000000003
ED3048	0.31099476439790574	3.2154882154882154
ED3049	0.4780220194271332	2.0919538417883157
ED3052	1.5962877030162412	0.626453488372093
ED3073	0.4893908091766181	2.0433567227845226
ED3077	0.25569776119402987	3.910867249405344
EG4347	0.3161421567801607	3.1631339843593875
EG4349	0.30759432672498044	3.2510352536316387
EG4725	0.39745916515426505	2.515981735159817
GXW1	0.4510739856801909	2.2169312169312168
JT11398	0.3946745562130178	2.5337331334332833
JU1172	0.3638510294544099	2.7483775475350107
JU1200	0.40614334470989766	2.4621848739495795
JU1242	0.6596147039913884	1.5160365497447361
JU1246	0.3291476868327402	3.0381498640400904
JU1395	0.35640138408304495	2.8058252427184467
JU1409	0.40735747126436783	2.4548463463703545
JU1491	0.3636363636363636	2.75
JU1530	0.2041436567164179	4.898511254695168
JU1568	0.6087488405232098	1.642713601130667
JU1581	0.21544715447154472	4.641509433962264
JU1586	0.5484291814772	1.8233894799443184
JU1652	0.594059405940594	1.6833333333333333
JU1793	0.4611084569557246	2.1686871817578037
JU1896	0.3663003663003663	2.73
JU2001	0.44227642276422763	2.261029411764706
JU2007	0.28570036526840564	3.5001705337707025
JU2316	0.5304347826086957	1.8852459016393441
JU2464	0.6851851851851852	1.4594594594594594
JU2466	0.4059040590405904	2.4636363636363634
JU258	1.755828196188883	0.5695318039490153
JU310	0.3581975381692762	2.791755647207777
JU323	0.4459999818928601	2.242152557396794
JU346	0.29577464788732394	3.380952380952381
JU360	0.4343195266272189	2.302452316076294
JU367	0.3626790476190476	2.757258812067865
JU393	0.36448598130841126	2.7435897435897436
JU394	0.4541095890410959	2.20211161387632
JU397	0.3575063636363637	2.797153006812339
JU406	0.29882604055496265	3.346428571428571
JU440	0.5375375375375374	1.8603351955307266
JU642	0.5861486486486487	1.7060518731988472
JU774	0.46163522012578617	2.1662125340599454
JU775	0.48602474747474744	2.0575083988947647
JU778	0.4830917874396135	2.07
JU847	0.46384039900249374	2.155913978494624
KR314	0.31801801801801804	3.1444759206798865
LKC34	1.1236177848866797	0.8899823529411766
MY1	0.34656488549618325	2.8854625550660793
MY10	0.41114887892376684	2.4322089911022595
MY16	0.30056179775280906	3.3271028037383172
MY23	0.510548523206751	1.9586776859504131
N2	0.598444124230554	1.6709997801143825
NIC1	0.550561797752809	1.816326530612245
NIC166	1	1
NIC199	0.6792144026186581	1.472289156626506
NIC2	0.4185393258426966	2.389261744966443
NIC207	0.4285795121951219	2.3332893233233327
NIC231	0.47950089126559714	2.0855018587360594
NIC236	0.3430021978322938	2.9154332138971784
NIC256	1.8571428571428572	0.5384615384615384
NIC267	0.4736842105263158	2.111111111111111
NIC3	0.4545454545454546	2.1999999999999997
PB303	0.2217391304347826	4.509803921568627
PB306	0.7253968253968254	1.3785557986870898
PS2025	0.4733766233766234	2.112482853223594
QG536	0.5457627118644068	1.8322981366459625
QG556	0.556701030927835	1.7962962962962965
QG557	0.5690140845070422	1.7574257425742577
QX1212	0.2592975206611571	3.8565737051792826
QX1233	0.42678581560283685	2.3430956780686243
QX1791	0.6370370370370371	1.5697674418604652
QX1792	0.32904884318766064	3.0390625
QX1793	0.7806451612903226	1.28099173553719
QX1794	0.4473684210526316	2.235294117647059
RC301	0.2634920634920635	3.7951807228915664
WN2001	0.7278911564625851	1.3738317757009346
